DATE,TIME,S1[MW],S2[MW]
2016/1/1,0:00,0.0,0.0
2016/1/1,0:30,0.0,0.0
2016/1/1,1:00,0.0,0.0
2016/1/1,1:30,0.0,0.0
2016/1/1,2:00,0.0,0.0
2016/1/1,2:30,0.0,0.0
2016/1/1,3:00,0.0,0.0
2016/1/1,3:30,0.0,0.0
2016/1/1,4:00,0.0,0.0
2016/1/1,4:30,0.0,0.0
2016/1/1,5:00,0.0,0.0
2016/1/1,5:30,0.0,0.0
2016/1/1,6:00,0.0,0.0
2016/1/1,6:30,0.0,0.0
2016/1/1,7:00,0.1,2.0
2016/1/1,7:30,6.1,15.0
2016/1/1,8:00,32.1,29.9
2016/1/1,8:30,59.8,56.9
2016/1/1,9:00,54.7,78.4
2016/1/1,9:30,113.8,89.0
2016/1/1,10:00,115.9,97.3
2016/1/1,10:30,139.5,100.6
2016/1/1,11:00,125.7,96.8
2016/1/1,11:30,76.1,94.7
2016/1/1,12:00,93.6,91.5
2016/1/1,12:30,130.6,73.1
2016/1/1,13:00,133.1,75.7
2016/1/1,13:30,99.3,71.6
2016/1/1,14:00,79.5,49.1
2016/1/1,14:30,51.3,27.1
2016/1/1,15:00,17.5,12.0
2016/1/1,15:30,4.0,1.1
2016/1/1,16:00,0.0,0.0
2016/1/1,16:30,0.0,0.0
2016/1/1,17:00,0.0,0.0
2016/1/1,17:30,0.0,0.0
2016/1/1,18:00,0.0,0.0
2016/1/1,18:30,0.0,0.0
2016/1/1,19:00,0.0,0.0
2016/1/1,19:30,0.0,0.0
2016/1/1,20:00,0.0,0.0
2016/1/1,20:30,0.0,0.0
2016/1/1,21:00,0.0,0.0
2016/1/1,21:30,0.0,0.0
2016/1/1,22:00,0.0,0.0
2016/1/1,22:30,0.0,0.0
2016/1/1,23:00,0.0,0.0
2016/1/1,23:30,0.0,0.0
2016/1/2,0:00,0.0,0.0
2016/1/2,0:30,0.0,0.0
2016/1/2,1:00,0.0,0.0
2016/1/2,1:30,0.0,0.0
2016/1/2,2:00,0.0,0.0
2016/1/2,2:30,0.0,0.0
2016/1/2,3:00,0.0,0.0
2016/1/2,3:30,0.0,0.0
2016/1/2,4:00,0.0,0.0
2016/1/2,4:30,0.0,0.0
2016/1/2,5:00,0.0,0.0
2016/1/2,5:30,0.0,0.0
2016/1/2,6:00,0.0,0.0
2016/1/2,6:30,0.0,0.0
2016/1/2,7:00,0.0,0.2
2016/1/2,7:30,0.1,2.5
2016/1/2,8:00,0.2,6.4
2016/1/2,8:30,1.4,7.6
2016/1/2,9:00,11.7,9.0
2016/1/2,9:30,38.3,5.0
2016/1/2,10:00,72.1,6.8
2016/1/2,10:30,84.4,7.8
2016/1/2,11:00,92.2,11.3
2016/1/2,11:30,63.4,19.3
2016/1/2,12:00,41.5,27.1
2016/1/2,12:30,62.1,44.6
2016/1/2,13:00,76.4,57.5
2016/1/2,13:30,41.0,52.1
2016/1/2,14:00,30.9,42.8
2016/1/2,14:30,28.2,23.7
2016/1/2,15:00,15.8,8.8
2016/1/2,15:30,1.8,0.6
2016/1/2,16:00,0.0,0.0
2016/1/2,16:30,0.0,0.0
2016/1/2,17:00,0.0,0.0
2016/1/2,17:30,0.0,0.0
2016/1/2,18:00,0.0,0.0
2016/1/2,18:30,0.0,0.0
2016/1/2,19:00,0.0,0.0
2016/1/2,19:30,0.0,0.0
2016/1/2,20:00,0.0,0.0
2016/1/2,20:30,0.0,0.0
2016/1/2,21:00,0.0,0.0
2016/1/2,21:30,0.0,0.0
2016/1/2,22:00,0.0,0.0
2016/1/2,22:30,0.0,0.0
2016/1/2,23:00,0.0,0.0
2016/1/2,23:30,0.0,0.0
2016/1/3,0:00,0.0,0.0
2016/1/3,0:30,0.0,0.0
2016/1/3,1:00,0.0,0.0
2016/1/3,1:30,0.0,0.0
2016/1/3,2:00,0.0,0.0
2016/1/3,2:30,0.0,0.0
2016/1/3,3:00,0.0,0.0
2016/1/3,3:30,0.0,0.0
2016/1/3,4:00,0.0,0.0
2016/1/3,4:30,0.0,0.0
2016/1/3,5:00,0.0,0.0
2016/1/3,5:30,0.0,0.0
2016/1/3,6:00,0.0,0.0
2016/1/3,6:30,0.0,0.0
2016/1/3,7:00,0.4,0.9
