DATE,TIME,q1s,q1t,q2s,q2t,q3s,q3t,q4s,q4t
DATE,TIME,solar[kW/m2],temp[deg C],solar[kW/m2],temp[deg C],solar[kW/m2],temp[deg C],solar[kW/m2],temp[deg C]
2016/1/1,0:00,-0.000778409,-2.3,-0.000901733,-2.5,-0.000716586,-8.8,-0.002054850,-4.4
2016/1/1,0:30,-0.000702661,-2.2,-0.000726578,-2.8,-0.000072579,-9.3,-0.002092578,-4.2
2016/1/1,1:00,-0.000712647,-2.1,-0.000773842,-3.2,-0.000957445,-9.0,-0.000592105,-4.9
2016/1/1,1:30,0.000029383,-2.2,-0.000941528,-3.5,-0.001919811,-8.6,-0.001966011,-5.6
2016/1/1,2:00,-0.000261147,-2.4,-0.000459425,-3.7,-0.000977553,-7.9,-0.001744569,-5.5
2016/1/1,2:30,-0.000976386,-2.2,-0.000647055,-3.5,-0.000094761,-8.4,-0.000248201,-5.8
2016/1/1,3:00,-0.000430410,-2.2,-0.000580676,-3.6,-0.000572145,-9.2,-0.001087909,-7.2
2016/1/1,3:30,-0.001001927,-2.4,-0.000904478,-3.7,-0.000674143,-9.5,-0.004018024,-6.0
2016/1/1,4:00,-0.000927686,-2.2,-0.000963816,-4.0,-0.000531484,-9.7,-0.000931722,-5.9
2016/1/1,4:30,-0.000842881,-1.9,-0.000594676,-4.6,-0.001092673,-9.8,0.002832540,-8.7
2016/1/1,5:00,-0.000919286,-1.9,-0.000930630,-4.7,-0.000833133,-9.9,-0.003029485,-9.4
2016/1/1,5:30,-0.000779854,-1.9,-0.000856014,-4.7,-0.000195723,-10.0,0.000254754,-9.4
2016/1/1,6:00,-0.000272765,-2.5,-0.000882466,-4.9,-0.000903921,-10.3,-0.000707356,-10.9
2016/1/1,6:30,0.000536776,-2.9,0.000035303,-4.9,0.000204562,-10.1,0.001538505,-11.6
2016/1/1,7:00,0.004358558,-2.9,0.008710715,-4.6,0.011419197,-10.0,0.013094101,-10.8
2016/1/1,7:30,0.012925367,-3.1,0.034084508,-3.6,0.034104345,-9.5,0.058635135,-9.9
2016/1/1,8:00,0.038336852,-2.9,0.117575755,-2.6,0.093011279,-8.8,0.094276108,-8.6
2016/1/1,8:30,0.061475365,-2.2,0.213484438,-0.7,0.176355991,-7.9,0.200981388,-6.5
2016/1/1,9:00,0.159228202,-1.2,0.276626540,0.0,0.339371387,-5.9,0.276318460,-4.5
2016/1/1,9:30,0.221269242,-0.3,0.307763634,0.1,0.297246175,-4.4,0.322007486,-3.3
2016/1/1,10:00,0.231619339,-0.5,0.354492127,0.7,0.320564130,-2.3,0.360174372,-1.9
2016/1/1,10:30,0.205909440,-0.4,0.363167986,0.8,0.306980260,-1.9,0.399242804,-0.8
2016/1/1,11:00,0.277443674,-0.2,0.358989056,0.6,0.237579496,-3.1,0.412188128,-0.3
2016/1/1,11:30,0.218104770,-0.9,0.461230582,1.2,0.343228288,-2.9,0.389022767,0.3
2016/1/1,12:00,0.185560106,-1.1,0.507230560,2.2,0.189717397,-2.9,0.393890100,0.4
2016/1/1,12:30,0.187354454,-0.7,0.411598808,2.2,0.141504295,-2.8,0.362178410,0.9
2016/1/1,13:00,0.173216370,-0.8,0.357569081,1.8,0.131746906,-2.2,0.202242450,0.9
2016/1/1,13:30,0.108650342,-1.0,0.307997213,1.3,0.094258972,-2.2,0.152060921,0.0
2016/1/1,14:00,0.066129682,-1.0,0.237548138,1.2,0.183076462,-2.0,0.077677445,0.1
2016/1/1,14:30,0.053688534,-1.0,0.162327831,1.0,0.130294133,-2.6,0.048233422,-0.1
2016/1/1,15:00,0.025200759,-1.2,0.091036719,0.6,0.083529009,-3.1,0.031905431,-0.7
2016/1/1,15:30,0.012075830,-1.0,0.033515733,0.0,0.018933870,-3.6,0.010721828,-1.6
2016/1/1,16:00,0.001723823,-1.2,0.003039598,-0.6,-0.000445348,-3.9,-0.000164754,-2.3
2016/1/1,16:30,-0.001095899,-1.4,-0.001110772,-1.0,-0.000870232,-4.4,-0.001633701,-2.6
2016/1/1,17:00,-0.000628779,-1.7,-0.001468739,-1.2,-0.001027346,-5.1,-0.001823462,-3.0
2016/1/1,17:30,-0.000793976,-2.1,-0.001299501,-1.7,-0.001744509,-5.5,-0.001380120,-3.4
2016/1/1,18:00,-0.001133424,-2.3,-0.000778408,-2.1,-0.001285193,-6.0,-0.001623877,-3.8
2016/1/1,18:30,-0.001035144,-2.4,-0.001183246,-2.1,-0.001428358,-6.5,-0.001479887,-4.2
2016/1/1,19:00,-0.000967182,-2.5,-0.000683361,-2.0,-0.000102633,-7.4,-0.001083691,-4.7
2016/1/1,19:30,-0.000917634,-2.7,-0.000601795,-2.2,-0.000719977,-8.5,-0.001627836,-5.2
2016/1/1,20:00,-0.000497241,-2.6,-0.000711497,-2.2,-0.000099261,-9.6,-0.001712238,-5.4
2016/1/1,20:30,-0.000908408,-2.7,-0.000653577,-2.0,-0.000781580,-10.0,-0.001438298,-5.7
2016/1/1,21:00,-0.000823223,-2.8,-0.000767609,-2.3,-0.000752897,-10.8,-0.002004645,-5.7
2016/1/1,21:30,-0.001059027,-2.8,-0.000722103,-2.4,-0.000423441,-11.3,-0.001373986,-5.8
2016/1/1,22:00,-0.000702194,-2.8,-0.000807238,-2.7,-0.000977366,-12.1,-0.001847112,-6.1
2016/1/1,22:30,-0.000895011,-2.8,-0.000882209,-2.9,-0.001720148,-12.0,0.000933958,-6.9
2016/1/1,23:00,-0.000914326,-2.8,-0.000971400,-3.2,-0.000907245,-11.9,-0.001204283,-7.5
2016/1/1,23:30,-0.000473461,-2.9,-0.000877094,-3.1,-0.000731641,-11.7,-0.000600271,-7.8
2016/1/2,0:00,-0.000930111,-2.8,-0.000875730,-3.1,-0.000992268,-11.6,-0.000941365,-8.3
2016/1/2,0:30,-0.001018930,-2.8,-0.001300884,-3.4,-0.000977667,-11.2,-0.001280709,-8.2
2016/1/2,1:00,-0.001014332,-2.8,-0.001308887,-3.8,0.000008518,-11.5,-0.000610942,-8.6
2016/1/2,1:30,-0.000851020,-2.7,-0.001263737,-4.0,-0.000126834,-11.7,-0.001443231,-8.9
2016/1/2,2:00,-0.001205125,-2.9,-0.000757299,-3.8,-0.001217402,-12.3,-0.000548875,-9.2
2016/1/2,2:30,-0.001138705,-2.9,-0.000817249,-3.2,-0.001025919,-12.4,-0.001494381,-9.3
2016/1/2,3:00,-0.001037484,-2.7,-0.000516234,-2.9,-0.001252869,-12.4,-0.000941408,-9.5
2016/1/2,3:30,-0.001328006,-2.6,-0.000590089,-2.6,-0.001017325,-12.3,-0.001096411,-9.9
2016/1/2,4:00,-0.001256333,-2.3,-0.000140453,-2.5,-0.001297230,-11.8,-0.000637602,-10.3
2016/1/2,4:30,-0.001335279,-1.4,-0.000012989,-2.5,-0.000779616,-11.6,-0.001583553,-9.9
2016/1/2,5:00,-0.000871640,-1.2,-0.000048836,-2.2,-0.001261562,-11.2,-0.001063554,-9.6
2016/1/2,5:30,-0.000785878,-1.3,-0.000186627,-2.1,0.000553698,-11.6,-0.001190876,-9.7
2016/1/2,6:00,-0.000684885,-1.3,-0.000164510,-2.0,-0.001455297,-12.1,-0.001031793,-9.7
2016/1/2,6:30,-0.000679017,-1.3,-0.000111563,-1.9,-0.000267502,-11.8,0.000300017,-9.7
2016/1/2,7:00,0.002343045,-1.1,-0.000531373,-0.6,0.006232309,-11.4,0.011656921,-9.4
2016/1/2,7:30,0.020234223,-0.8,0.004787932,0.4,0.020879826,-11.0,0.030459655,-8.8
2016/1/2,8:00,0.048483033,-0.5,0.023654544,0.7,0.115707478,-10.9,0.051717947,-8.2
2016/1/2,8:30,0.138543395,0.2,0.070429729,0.4,0.191719867,-8.8,0.035952749,-7.5
2016/1/2,9:00,0.140820555,0.4,0.140121247,0.6,0.199284406,-6.5,0.032842653,-6.8
2016/1/2,9:30,0.103514525,0.3,0.273709708,2.1,0.176269109,-4.3,0.024055693,-6.4
2016/1/2,10:00,0.165731311,0.8,0.271871508,2.8,0.138823384,-2.1,0.034940316,-6.0
